Motif_ID	DBID.1	GeneID	GeneName	Family_Name	Motif_Type
84	M10943_2.00	V$RSRFC4_01	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
85	M10958_2.00	V$MEF2B_02	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
86	M10957_2.00	V$MEF2D_Q4	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
87	M10938_2.00	V$MEF2_04	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
88	M3571_1.02	V$MMEF2_Q6	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
89	M3847_1.02	V$RSRFC4_Q2	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
90	M6340_1.02	MEF2A_f1	KH2013:KH.S455.6	MEF2D	MADS box	HocoMoco
91	M03343_2.00	MEF2D_1	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
92	M10937_2.00	V$MEF2_03	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
93	M5615_1.02	MEF2A_1	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
94	M3846_1.02	V$RSRFC4_01	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
95	M02745_2.00	MEF2C_dimer	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
96	M10933_2.00	V$AMEF2_Q6	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
97	M10945_2.00	V$MEF2C_02	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
98	M4694_1.02	Mv88	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
99	M10939_2.00	V$MEF2A_05	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
100	M03340_2.00	MEF2A_1	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
101	M4467_1.02	GM12878_MEF2C_HudsonAlpha	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
102	M2924_1.02	V$AMEF2_Q6	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
103	M09597_2.00	GM12878-Mef2c_GSE32465	KH2013:KH.S455.6	MEF2D	MADS box	Misc
104	M5617_1.02	MEF2D_1	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
105	M10942_2.00	V$MMEF2_Q6	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
106	M07979_2.00	GM12878_MEF2A_HudsonAlpha	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
107	M10946_2.00	V$MEF2C_Q4	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
108	M3395_1.02	V$HMEF2_Q6	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
109	M10944_2.00	V$RSRFC4_Q2	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
110	M03344_2.00	MEF2B_1	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
111	M4675_1.02	Mf26	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
112	M05552_2.00	MEF2C_FL_Methyl-HT-SELEX	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
113	M10940_2.00	V$MEF2A_Q6	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
114	M10941_2.00	V$MEF2_Q6_02	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
115	M05557_2.00	MEF2B_eDBD_HT-SELEX	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
116	M05559_2.00	MEF2B_FL_HT-SELEX	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
117	M09255_2.00	MEF2A_MOUSE.H11MO.0.A	KH2013:KH.S455.6	MEF2D	MADS box	Misc
118	M5616_1.02	MEF2B_1	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
119	M3561_1.02	V$MEF2D_Q4	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
120	M6341_1.02	MEF2C_f1	KH2013:KH.S455.6	MEF2D	MADS box	HocoMoco
121	M09599_2.00	HL1-Mef2a.biotin_GSE21529	KH2013:KH.S455.6	MEF2D	MADS box	Misc
122	M08149_2.00	MA0497.1	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
123	M6342_1.02	MEF2D_f1	KH2013:KH.S455.6	MEF2D	MADS box	HocoMoco
124	M05551_2.00	MEF2C_FL_HT-SELEX	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
125	M2297_1.02	MA0497.1	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
126	M05555_2.00	MEF2D_eDBD_HT-SELEX	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
127	M4695_1.02	Mv90	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
128	M09252_2.00	MEF2D_MOUSE.H11MO.0.A	KH2013:KH.S455.6	MEF2D	MADS box	Misc
129	M3550_1.02	V$MEF2_01	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
130	M05558_2.00	MEF2B_eDBD_Methyl-HT-SELEX	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
131	M05560_2.00	MEF2B_FL_Methyl-HT-SELEX	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
132	M3558_1.02	V$MEF2C_03	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
133	M09247_2.00	MEF2A_HUMAN.H11MO.0.A	KH2013:KH.S455.6	MEF2D	MADS box	Misc
134	M05556_2.00	MEF2D_eDBD_Methyl-HT-SELEX	KH2013:KH.S455.6	MEF2D	MADS box	SELEX
135	M09253_2.00	MEF2C_MOUSE.H11MO.0.A	KH2013:KH.S455.6	MEF2D	MADS box	Misc
136	M07980_2.00	GM12878_MEF2C_HudsonAlpha	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
137	M3557_1.02	V$MEF2C_02	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
138	M08212_2.00	Mv88	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
139	M09251_2.00	MEF2B_HUMAN.H11MO.0.A	KH2013:KH.S455.6	MEF2D	MADS box	Misc
140	M1884_1.02	MA0052.2	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
141	M08214_2.00	Mf26	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
142	M3556_1.02	V$MEF2B_02	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
143	M3552_1.02	V$MEF2_03	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
144	M3560_1.02	V$MEF2C_Q4	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
145	M3559_1.02	V$MEF2C_04	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
146	M3551_1.02	V$MEF2_02	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
147	M09248_2.00	MEF2C_HUMAN.H11MO.0.A	KH2013:KH.S455.6	MEF2D	MADS box	Misc
148	M3555_1.02	V$MEF2A_Q6	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
149	M09250_2.00	MEF2D_HUMAN.H11MO.0.A	KH2013:KH.S455.6	MEF2D	MADS box	Misc
150	M08213_2.00	Mv90	KH2013:KH.S455.6	MEF2D	MADS box	ChIP-seq
151	M3554_1.02	V$MEF2A_05	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
152	M3553_1.02	V$MEF2_04	KH2013:KH.S455.6	MEF2D	MADS box	Transfac
159	M05804_2.00	TBX19_eDBD_Methyl-HT-SELEX	KH2013:KH.S1404.1	TBX19	T-box	SELEX
160	M6164_1.02	BRAC_si	KH2013:KH.S1404.1	TBX19	T-box	HocoMoco
161	M05809_2.00	T_eDBD_HT-SELEX_1	KH2013:KH.S1404.1	TBX19	T-box	SELEX
162	M03562_2.00	TBX19_1	KH2013:KH.S1404.1	TBX19	T-box	SELEX
163	M05810_2.00	T_eDBD_HT-SELEX_2	KH2013:KH.S1404.1	TBX19	T-box	SELEX
164	M09651_2.00	Mesoendoderm-Brachyury_GSE54963	KH2013:KH.S1404.1	TBX19	T-box	Misc
165	M4787_1.02	byn_FlyReg_FBgn0011723	KH2013:KH.S1404.1	TBX19	T-box	B1H
166	M05803_2.00	TBX19_eDBD_HT-SELEX	KH2013:KH.S1404.1	TBX19	T-box	SELEX
167	M11384_2.00	V$BRACH_01	KH2013:KH.S1404.1	TBX19	T-box	Transfac
168	M05812_2.00	T_eDBD_Methyl-HT-SELEX_2	KH2013:KH.S1404.1	TBX19	T-box	SELEX
169	M09427_2.00	BRAC_HUMAN.H11MO.0.A	KH2013:KH.S1404.1	TBX19	T-box	Misc
170	M5882_1.02	TBX19_1	KH2013:KH.S1404.1	TBX19	T-box	SELEX
171	M09431_2.00	BRAC_MOUSE.H11MO.0.B	KH2013:KH.S1404.1	TBX19	T-box	Misc
172	M3004_1.02	V$BRACH_01	KH2013:KH.S1404.1	TBX19	T-box	Transfac
173	M05811_2.00	T_eDBD_Methyl-HT-SELEX_1	KH2013:KH.S1404.1	TBX19	T-box	SELEX
174	M1843_1.02	MA0009.1	KH2013:KH.S1404.1	TBX19	T-box	SELEX
175	M00737_2.00	GST-CSL-NOTCH1	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	PBM
176	M00738_2.00	GST-NOTCH1_CSL-6His_MAML1	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	PBM
177	M00736_2.00	GST-CSL_Fig4	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	PBM
178	M00740_2.00	GST-NOTCH1_Fig2	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	PBM
179	M00739_2.00	GST-NOTCH1_CSL-6His	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	PBM
180	M6499_1.02	SUH_f1	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	HocoMoco
181	M3811_1.02	V$RBPJK_Q4	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	Transfac
182	M10413_2.00	V$RBPJK_01	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	Transfac
183	M3810_1.02	V$RBPJK_01	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	Transfac
184	M00741_2.00	MAML1-CSL-GST-NOTCH1_Fig2	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	PBM
185	M00735_2.00	GST-CSL_Fig2	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	PBM
186	M09020_2.00	SUH_HUMAN.H11MO.0.A	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	Misc
187	M00742_2.00	MAML1-CSL-GST-NOTCH1_Fig5	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	PBM
188	M10414_2.00	V$RBPJK_Q4	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	Transfac
189	M08105_2.00	MA1116.1	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	ChIP-seq
190	M09021_2.00	SUH_MOUSE.H11MO.0.A	KH2013:KH.C2.725	KH2013:KH.C2.725_RBPJ	CSL	Misc
192	M10637_2.00	V$ALX4_01	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Transfac
193	M4980_1.02	ftz_FlyReg_FBgn0001077	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
194	M4909_1.02	Dfd_SOLEXA_FBgn0000439	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
195	M4977_1.02	Ftz_Cell_FBgn0001077	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
196	M5145_1.02	Pb_Cell_FBgn0051481	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
197	M5181_1.02	Scr_SOLEXA_FBgn0003339	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
198	M05027_2.00	DLX2_eDBD_Methyl-HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
199	M5146_1.02	Pb_SOLEXA_FBgn0051481	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
200	M4716_1.02	Mw154	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	ChIP-seq
201	M00530_2.00	Hoxc4_3491	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	PBM
202	M09676_2.00	ems	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Misc
203	M05189_2.00	VENTX_FL_HT-SELEX_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
204	M5542_1.02	HOXB3_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
205	M05010_2.00	PHOX2B_FL_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
206	M09675_2.00	Dfd	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Misc
207	M5180_1.02	Scr_Cell_FBgn0003339	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
208	M00531_2.00	Hoxd3_1742	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	PBM
209	M05026_2.00	DLX2_eDBD_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
210	M05199_2.00	ALX3_FL_Methyl-HT-SELEX_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
211	M5538_1.02	HOXA2_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
212	M05016_2.00	NANOG_eDBD_Methyl-HT-SELEX_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
213	M05198_2.00	ALX3_FL_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
214	M05009_2.00	PHOX2B_eDBD_Methyl-HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
215	M4908_1.02	Dfd_FlyReg_FBgn0000439	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
216	M5713_1.02	PDX1_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
217	M05029_2.00	DLX2_FL_Methyl-HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
218	M4981_1.02	Ftz_SOLEXA_FBgn0001077	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
219	M05015_2.00	NANOG_eDBD_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
220	M05017_2.00	NANOG_eDBD_Methyl-HT-SELEX_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
221	M09677_2.00	en	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Misc
222	M05226_2.00	MSX1_FL_Methyl-HT-SELEX_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
223	M05237_2.00	EN2_eDBD_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
224	M10639_2.00	V$DLX3_Q6	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Transfac
225	M6292_1.02	HXA5_si	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	HocoMoco
226	M05282_2.00	EMX2_eDBD_Methyl-HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
227	M10651_2.00	V$HOXA3_01	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Transfac
228	M5543_1.02	HOXB5_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
229	M05008_2.00	PHOX2B_eDBD_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
230	M06309_2.00	Otp_Cell_FBgn0015524	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
231	M05011_2.00	PHOX2B_FL_Methyl-HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
232	M05196_2.00	ALX3_eDBD_Methyl-HT-SELEX_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
233	M05197_2.00	ALX3_eDBD_Methyl-HT-SELEX_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
234	M09678_2.00	eve	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Misc
235	M3466_1.02	V$IPF1_Q6	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Transfac
236	M05002_2.00	DLX4_eDBD_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
237	M05200_2.00	ALX3_FL_Methyl-HT-SELEX_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
238	M05028_2.00	DLX2_FL_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
239	M4736_1.02	Antp_Cell_FBgn0000095	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
240	M10650_2.00	V$DLX5_Q3	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Transfac
241	M4907_1.02	Dfd_Cell_FBgn0000439	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
242	M05030_2.00	VAX2_FL_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
243	M06308_2.00	Btn_SOLEXA_FBgn0014949	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
244	M00525_2.00	Gbx1_2883	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	PBM
245	M06310_2.00	Otp_SOLEXA_FBgn0015524	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
246	M06311_2.00	Unpg_Cell_FBgn0015561	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
247	M6033_1.02	Hoxd3_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
248	M00524_2.00	Hmx1_3423	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	PBM
249	M09679_2.00	ftz	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Misc
250	M09682_2.00	Antp	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Misc
251	M10638_2.00	V$DLX3_Q3	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	Transfac
252	M06238_2.00	en_SOLEXA_2_FBgn0000577	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
253	M05218_2.00	EN1_eDBD_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
254	M05219_2.00	EN1_eDBD_Methyl-HT-SELEX_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
255	M05007_2.00	DLX4_FL_Methyl-HT-SELEX_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
256	M05031_2.00	VAX2_FL_Methyl-HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
257	M00507_2.00	Hmx2_3424	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	PBM
258	M6028_1.02	Hoxa2_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
259	M05038_2.00	VSX2_eDBD_Methyl-HT-SELEX_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
260	M4720_1.02	Abd-A_FlyReg_FBgn0000014	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	B1H
261	M05225_2.00	MSX1_FL_Methyl-HT-SELEX_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
262	M05039_2.00	VSX2_FL_HT-SELEX	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
263	M05040_2.00	VSX2_FL_Methyl-HT-SELEX_1	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
264	M05278_2.00	HOXD4_FL_Methyl-HT-SELEX_2	KH2013:KH.C14.554	HOXA10/3/9	Homeodomain	SELEX
