TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T033261_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000005021	e(spl)/hairy-b	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033262_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000005036	ENSCING00000005036	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033263_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000005242	ENSCING00000005242	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033264_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000005750	hand	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033265_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000006427	ENSCING00000006427	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033266_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000006582	notrlc	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033267_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000007328	ENSCING00000007328	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033268_2.00	F082_2.00	TS12_2.00	M01719_2.00	MS64_2.00	ENSCING00000008102	arnt	Ciona_intestinalis	I	bHLH	HLH	1	0.837833807768996	pTH5111	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033269_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000008157	ENSCING00000008157	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033270_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000008710	ENSCING00000008710	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033271_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000008930	mist	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033272_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000009336	ENSCING00000009336	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033273_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000009407	ahr	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033274_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000009523	e12/e47	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033275_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000011331	ENSCING00000011331	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033276_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000011365	ENSCING00000011365	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033277_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000011675	ENSCING00000011675	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033278_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000012244	twist-like-2	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033279_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000012702	mesp	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033280_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000013361	ENSCING00000013361	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033281_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000013383	ENSCING00000013383	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033282_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000013835	e(spl)/hairy-a	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033283_2.00	F082_2.00	TS12_2.00	M01717_2.00	MS64_2.00	ENSCING00000014406	ENSCING00000014406	Ciona_intestinalis	I	bHLH	HLH	1	0.837833807768996	pTH5067	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033284_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000016140	ENSCING00000016140	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033285_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000018365	ENSCING00000018365	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033286_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000019161	ENSCING00000019161	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033287_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000019532	ENSCING00000019532	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033288_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000019922	not7	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033289_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000022083	ENSCING00000022083	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033290_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000022626	ENSCING00000022626	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033291_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000023058	ENSCING00000023058	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033292_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000023475	ENSCING00000023475	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033293_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000023973	ENSCING00000023973	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033294_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000024790	tf4	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T033295_2.00	F082_2.00	TS12_2.00	.	.	ENSCING00000024943	ENSCING00000024943	Ciona_intestinalis	N	bHLH	HLH	1	0.837833807768996	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059176_2.00	F091_2.00	TS12_2.00	M04351_2.00	MS62_2.00	ENSCING00000001304	ENSCING00000001304	Ciona_intestinalis	I	bZIP	bZIP_1	1	0.7817561867494799	MAFA_eDBD_HT-SELEX_1	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059177_2.00	F091_2.00	TS12_2.00	M03632_2.00	MS45_2.00	ENSCING00000001311	ENSCING00000001311	Ciona_intestinalis	I	bZIP	bZIP_1	1	0.7817561867494799	tj_1	SELEX	Nitta2015	SELEX	Nitta	2015	25779349	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059178_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000001369	ENSCING00000001369	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059179_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000002295	tef/hlf	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059180_2.00	F091_2.00	TS12_2.00	M00125_2.00	MS02_2.00	ENSCING00000002838	ENSCING00000002838	Ciona_intestinalis	I	bZIP	bZIP_1	1	0.7817561867494799	Jundm2_0911	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059181_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000003373	ENSCING00000003373	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059182_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000003476	ENSCING00000003476	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059183_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000003691	ENSCING00000003691	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059184_2.00	F091_2.00	TS12_2.00	M01821_2.00	MS64_2.00	ENSCING00000004753	ENSCING00000004753	Ciona_intestinalis	I	bZIP	bZIP_1	1	0.7817561867494799	pTH5002	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059185_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000005067	xbpa	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059186_2.00	F091_2.00	TS12_2.00	M01143_2.00	MS57_2.00	ENSCING00000005364	creb/atf-a	Ciona_intestinalis	I	bZIP	bZIP_1	1	0.7817561867494799	pTH11415	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059187_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000006014	ENSCING00000006014	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059188_2.00	F091_2.00	TS12_2.00	M01808_2.00	MS64_2.00	ENSCING00000006645	atf2/7	Ciona_intestinalis	I	bZIP	bZIP_1	1	0.7817561867494799	pTH5083	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059189_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000007458	xbpd	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059190_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000008105	nf-il2	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059191_2.00	F091_2.00	TS12_2.00	M01842_2.00	MS64_2.00	ENSCING00000009285	jun	Ciona_intestinalis	I	bZIP	bZIP_1	1	0.7817561867494799	pTH8562	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059192_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000010712	xbpb	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059193_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000011762	atf4/5	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059194_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000012332	ENSCING00000012332	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059195_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000012798	c/ebpalpha/gamma	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059196_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000012799	c/ebpbeta/delta/epsilon	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059197_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000013162	ENSCING00000013162	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059198_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000013267	xbpc	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059199_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000015730	ENSCING00000015730	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059200_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000015866	ENSCING00000015866	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059201_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000019039	creb/atf-b	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059202_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000019112	ENSCING00000019112	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059203_2.00	F091_2.00	TS12_2.00	.	.	ENSCING00000021400	zf(zz)-4	Ciona_intestinalis	N	bZIP	bZIP_1	1	0.7817561867494799	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T059204_2.00	F091_2.00	TS12_2.00	M04327_2.00	MS62_2.00	ENSCING00000023347	ENSCING00000023347	Ciona_intestinalis	I	bZIP	bZIP_1	1	0.7817561867494799	FOS_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T075635_2.00	F108_2.00	TS12_2.00	.	.	ENSCING00000004152	ENSCING00000004152	Ciona_intestinalis	N	C2H2 ZF,CUT	zf-C2H2,CUT	2	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T089047_2.00	F135_2.00	TS12_2.00	.	.	ENSCING00000000010	ENSCING00000000010	Ciona_intestinalis	N	C2H2 ZF	zf-C2H2	1	0.7554544955391291	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T089048_2.00	F135_2.00	TS12_2.00	.	.	ENSCING00000000012	ENSCING00000000012	Ciona_intestinalis	N	C2H2 ZF	zf-C2H2	1	0.7554544955391291	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T089049_2.00	F135_2.00	TS12_2.00	.	.	ENSCING00000000529	zf(btb/c2h2)	Ciona_intestinalis	N	C2H2 ZF	zf-C2H2	1	0.7554544955391291	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T089050_2.00	F135_2.00	TS12_2.00	.	.	ENSCING00000000609	ENSCING00000000609	Ciona_intestinalis	N	C2H2 ZF	zf-C2H2	1	0.7554544955391291	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T089051_2.00	F135_2.00	TS12_2.00	.	.	ENSCING00000000713	zf(c2h2)-75	Ciona_intestinalis	N	C2H2 ZF	zf-C2H2	1	0.7554544955391291	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T089052_2.00	F135_2.00	TS12_2.00	.	.	ENSCING00000001021	ENSCING00000001021	Ciona_intestinalis	N	C2H2 ZF	zf-C2H2	1	0.7554544955391291	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T089053_2.00	F135_2.00	TS12_2.00	.	.	ENSCING00000001258	ENSCING00000001258	Ciona_intestinalis	N	C2H2 ZF	zf-C2H2	1	0.7554544955391291	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T089054_2.00	F135_2.00	TS12_2.00	M00134_2.00	MS02_2.00	ENSCING00000001563	zf(c2h2)-22	Ciona_intestinalis	I	C2H2 ZF	zf-C2H2	1	0.7554544955391291	Klf7_0974	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
